gene,logFC,pval,abs_logFC
241390_at,-1.3968021795003889,1.4828499551528522e-05,1.3968021795003889
228023_x_at,-0.8338106059709807,1.485863004183015e-05,0.8338106059709807
203501_at,-0.7560411228564714,1.4896771941538397e-05,0.7560411228564714
235143_at,-0.5901957399164717,1.489823759510632e-05,0.5901957399164717
225658_at,-0.6884696707690194,1.4899959629775773e-05,0.6884696707690194
235258_at,-0.5797952836321576,1.491064160734566e-05,0.5797952836321576
202096_s_at,1.0676917734086295,1.4934430333795289e-05,1.0676917734086295
235350_at,-1.1934028518109807,1.4956023989353949e-05,1.1934028518109807
206781_at,0.5838173083266671,1.4966928470770926e-05,0.5838173083266671
244398_x_at,-0.6016258826709806,1.4979123159190215e-05,0.6016258826709806
230903_s_at,-0.6504165069298038,1.5027394859632772e-05,0.6504165069298038
204779_s_at,0.544064211675293,1.5033727139003448e-05,0.544064211675293
1561179_s_at,0.2311832230847055,1.504493722997565e-05,0.2311832230847055
234162_at,0.29887153730000016,1.5051577154299684e-05,0.29887153730000016
235079_at,-1.3302114742901967,1.5057329840440666e-05,1.3302114742901967
227303_at,0.38913659246627574,1.5067272969734783e-05,0.38913659246627574
220013_at,0.4526059472666666,1.5070773017143746e-05,0.4526059472666666
1558447_at,1.3905694395039214,1.5118626211140352e-05,1.3905694395039214
201780_s_at,-0.7653127769933317,1.5135144269023316e-05,0.7653127769933317
204858_s_at,1.5701351574670577,1.5142887503313633e-05,1.5701351574670577
232934_at,0.3829852910019609,1.514927479672255e-05,0.3829852910019609
216733_s_at,-1.1308139047870576,1.5165394333160334e-05,1.1308139047870576
204651_at,-0.586404064286274,1.5172167264505987e-05,0.586404064286274
213913_s_at,-1.3013624731686284,1.5177569236459158e-05,1.3013624731686284
231274_s_at,1.4840476490301961,1.5178583124401734e-05,1.4840476490301961
226547_at,-0.512181647105491,1.5213705717855275e-05,0.512181647105491
230302_at,-0.9870367200631369,1.5215639681044023e-05,0.9870367200631369
201120_s_at,-1.244293137277646,1.522649065210912e-05,1.244293137277646
209764_at,0.5726090560329409,1.5227686022493871e-05,0.5726090560329409
232362_at,-0.5583969042521564,1.5235112330021668e-05,0.5583969042521564
218729_at,-1.0459779142976462,1.5239212846376996e-05,1.0459779142976462
1564798_at,0.303089784310588,1.5241010913898097e-05,0.303089784310588
1557246_at,0.6918597784101967,1.527182086779887e-05,0.6918597784101967
1558953_s_at,0.5292506295949018,1.528226695730421e-05,0.5292506295949018
201875_s_at,-0.37860817269529345,1.5288399469867216e-05,0.37860817269529345
207253_s_at,-0.36600028023372566,1.5289914089207493e-05,0.36600028023372566
213130_at,-0.3997700997513731,1.5301228113172155e-05,0.3997700997513731
242855_at,0.3368677853917639,1.532722375755651e-05,0.3368677853917639
218592_s_at,0.63140597363412,1.5329500522018304e-05,0.63140597363412
214662_at,-0.5670395160756883,1.5332099203916222e-05,0.5670395160756883
1553695_a_at,0.8489243026882365,1.5341324592619758e-05,0.8489243026882365
1555390_at,0.41401688559411776,1.534432600057043e-05,0.41401688559411776
227705_at,-1.2460927764705865,1.5358412236943807e-05,1.2460927764705865
226099_at,-1.3483891685886276,1.537263302032124e-05,1.3483891685886276
223296_at,-0.8595316444666681,1.5374262674662216e-05,0.8595316444666681
206638_at,-1.3749145727533358,1.5384941313639324e-05,1.3749145727533358
223035_s_at,-0.5819117567019596,1.5388653906872456e-05,0.5819117567019596
237990_x_at,0.30272764372784344,1.5398141836498164e-05,0.30272764372784344
211676_s_at,-1.3601481824917654,1.5419879487995434e-05,1.3601481824917654
221274_s_at,-0.37900761973097996,1.5436891313733336e-05,0.37900761973097996
239495_at,0.2061653216799999,1.5445464346650834e-05,0.2061653216799999
201131_s_at,-0.8267159921709784,1.5470243633941268e-05,0.8267159921709784
219870_at,-0.9104906995215689,1.5482697561301434e-05,0.9104906995215689
237116_at,-0.4336410827521564,1.5492491035979462e-05,0.4336410827521564
1552698_at,0.5649429512603916,1.5494082300371383e-05,0.5649429512603916
212433_x_at,0.24131082261960657,1.5501338745132933e-05,0.24131082261960657
215438_x_at,-0.5169036585227449,1.551090339923605e-05,0.5169036585227449
1569311_at,-0.8180347761219604,1.5511385780909355e-05,0.8180347761219604
210463_x_at,0.5147410915788209,1.5524776424934304e-05,0.5147410915788209
1559167_x_at,0.36561883169176435,1.5538882597169316e-05,0.36561883169176435
238332_at,-1.8555663677717646,1.5573971879627955e-05,1.8555663677717646
211315_s_at,0.41984049422392156,1.558583807484295e-05,0.41984049422392156
227099_s_at,1.4161793258584314,1.560246299900492e-05,1.4161793258584314
204188_s_at,0.8115068567788244,1.5611393206092737e-05,0.8115068567788244
238662_at,-0.7345087815733331,1.561801450670472e-05,0.7345087815733331
209462_at,0.8761073888505875,1.5639440214058037e-05,0.8761073888505875
232013_at,-0.7608671050156866,1.56437228317956e-05,0.7608671050156866
222742_s_at,-0.6523000787992146,1.5643754277593254e-05,0.6523000787992146
212340_at,-0.7320890539572544,1.5654622777634553e-05,0.7320890539572544
229104_s_at,0.3230093094870585,1.566378900997266e-05,0.3230093094870585
236717_at,0.4320802642662729,1.5666255961713574e-05,0.4320802642662729
239737_at,0.21720869337764626,1.5676427807064507e-05,0.21720869337764626
203156_at,-0.4627108535278417,1.5679809685288757e-05,0.4627108535278417
1557513_a_at,0.2537167165890195,1.5701808723017764e-05,0.2537167165890195
200837_at,0.4656928689050961,1.5726603899821373e-05,0.4656928689050961
