sig_id,drug,pert_id,similarity_scores
CPC016_A549_24H:BRD-A82371568-001-01-5:10,clofarabine,BRD-A82371568-001-01-5,0.02
CPC010_HT29_6H:BRD-K33086940-001-05-7:10,JAS07-007,BRD-K33086940-001-05-7,0.02
LJP001_MCF10A_6H:BRD-K99252563-001-01-1:2,QL-XII-47,BRD-K99252563-001-01-1,0.02
CPC007_MCF7_24H:BRD-K93623754-001-04-2:10,BRD-K93623754,BRD-K93623754-001-04-2,0.02
CPC012_HA1E_6H:BRD-K00486725-001-01-8:10,BRD-K00486725,BRD-K00486725-001-01-8,0.02
LJP002_MCF7_24H:BRD-K72414522-001-01-8:10,AZD-5438,BRD-K72414522-001-01-8,0.02
CVD001_HEPG2_6H:BRD-K60476892-001-02-1:4.1072,YC-1,BRD-K60476892-001-02-1,0.02
CPC006_HEPG2_6H:BRD-A79465854-001-01-3:10,auranofin,BRD-A79465854-001-01-3,0.02
CPC014_HCC515_6H:BRD-K32644160-001-07-3:10,BRD-K32644160,BRD-K32644160-001-07-3,0.02
CPC014_HT29_6H:BRD-K50387473-001-01-1:10,XMD-892,BRD-K50387473-001-01-1,0.02
CPC008_VCAP_24H:BRD-K58853583-001-01-1:10,BRD-K58853583,BRD-K58853583-001-01-1,0.02
CPC014_VCAP_24H:BRD-K38775274-001-13-0:10,dexamethasone,BRD-K38775274-001-13-0,0.02
CPC014_PC3_24H:BRD-K64052750-001-05-0:10,gefitinib,BRD-K64052750-001-05-0,0.02
CPC002_PC3_24H:BRD-K98548675-001-02-6:10,parthenolide,BRD-K98548675-001-02-6,0.02
CPC013_PC3_24H:BRD-K25504083-001-03-1:10,cytochalasin-d,BRD-K25504083-001-03-1,0.02
CPC006_A549_6H:BRD-K41087962-001-01-7:0.63,BRD-K41087962,BRD-K41087962-001-01-7,0.02
LJP001_MCF10A_6H:BRD-K38615104-001-08-4:10,A-443644,BRD-K38615104-001-08-4,0.02
CPC013_PC3_24H:BRD-K76938712-001-01-2:10,BRD-K76938712,BRD-K76938712-001-01-2,0.02
MUC.CP002_MCF7_24H:BRD-K89085489-001-02-6:10,fenretinide,BRD-K89085489-001-02-6,0.02
CPC019_A549_6H:BRD-K08448573-001-01-3:10,BRD-K08448573,BRD-K08448573-001-01-3,0.02
CPC006_SNUC4_6H:BRD-K01976263-003-04-5:0.63,emetine,BRD-K01976263-003-04-5,0.02
DOSBIO001_MCF7_24H:BRD-K81418486:10,vorinostat,BRD-K81418486,0.02
CPC014_A549_24H:BRD-K56957086-001-04-8:10,dacinostat,BRD-K56957086-001-04-8,0.02
CPC002_PC3_6H:BRD-K37392901-003-01-7:10,NSC-632839,BRD-K37392901-003-01-7,0.02
CPC001_VCAP_24H:BRD-A47633927-001-01-8:10,NPC-15199,BRD-A47633927-001-01-8,0.02
CPC015_NPC_24H:BRD-K62200014-003-05-5:10,anagrelide,BRD-K62200014-003-05-5,0.02
CPC014_VCAP_24H:BRD-K61463582-001-03-1:10,BRD-K61463582,BRD-K61463582-001-03-1,0.02
CPC004_VCAP_24H:BRD-K60274257-001-01-1:10,dephostatin,BRD-K60274257-001-01-1,0.02
CPC009_VCAP_24H:BRD-A75301702-001-01-8:10,BRD-A75301702,BRD-A75301702-001-01-8,0.02
CPC012_VCAP_6H:BRD-K89626439-001-01-0:10,sirolimus,BRD-K89626439-001-01-0,0.02
CPC006_A375_24H:BRD-K04623885-001-03-4:80,BIBR-1532,BRD-K04623885-001-03-4,0.02
CPC006_SW620_6H:BRD-K09635314-001-02-6:80,M-3M3FBS,BRD-K09635314-001-02-6,0.02
CPC015_A549_24H:BRD-A60414806-065-01-6:10,vincristine,BRD-A60414806-065-01-6,0.02
CPC006_NCIH2073_6H:BRD-K32164935-001-17-5:10,tolazamide,BRD-K32164935-001-17-5,0.02
CPC013_VCAP_24H:BRD-K63068307-001-01-4:10,ZSTK-474,BRD-K63068307-001-01-4,0.02
CPC005_HA1E_24H:BRD-A92439610-001-03-2:10,triamcinolone,BRD-A92439610-001-03-2,0.02
CPC016_HT29_6H:BRD-K08547377-003-03-2:10,irinotecan,BRD-K08547377-003-03-2,0.02
CPC003_HA1E_24H:BRD-K13169950-001-04-5:10,NSC-3852,BRD-K13169950-001-04-5,0.02
CPC019_PC3_6H:BRD-K06405410-001-01-2:10,BRD-K06405410,BRD-K06405410-001-01-2,0.02
CPC006_A375_6H:BRD-K58550667-001-01-2:0.08,FK-866,BRD-K58550667-001-01-2,0.02
CPC002_PC3_24H:BRD-K93460210-001-09-6:10,lamotrigine,BRD-K93460210-001-09-6,0.02
CPC013_MCF7_24H:BRD-K13390322-001-01-4:10,AT-7519,BRD-K13390322-001-01-4,0.02
CPC001_VCAP_24H:BRD-K62289640-003-01-9:10,lylamine,BRD-K62289640-003-01-9,0.02
CPC010_PC3_24H:BRD-K65955264-005-03-8:10,BRD-K65955264,BRD-K65955264-005-03-8,0.02
CPC016_SKB_24H:BRD-K54210043-001-02-0:10,NS-1619,BRD-K54210043-001-02-0,0.02
CPC010_HT29_6H:BRD-K17915279-001-05-8:10,JAS07-004,BRD-K17915279-001-05-8,0.02
MUC.CP003_MCF7_6H:BRD-K53308430-001-02-4:0.3704,SA-1017940,BRD-K53308430-001-02-4,0.02
CPC016_HT29_6H:BRD-K94512704-001-02-1:10,spiramide,BRD-K94512704-001-02-1,0.02
CPC003_HA1E_24H:BRD-K61496577-001-03-8:10,flumetasone,BRD-K61496577-001-03-8,0.02
CPD003_MCF7_24H:BRD-K55696337-001-02-4:10,topotecan,BRD-K55696337-001-02-4,0.02
CPC012_MCF7_6H:BRD-K10573841-001-01-0:10,tunicamycin,BRD-K10573841-001-01-0,0.02
CPC018_HEPG2_6H:BRD-K08438429-001-01-0:10,BRD-K08438429,BRD-K08438429-001-01-0,0.02
CPC002_PC3_24H:BRD-A69960130-066-01-4:10,bromocriptine,BRD-A69960130-066-01-4,0.02
CPC003_PC3_6H:BRD-K78122587-300-01-9:10,NNC-55-0396,BRD-K78122587-300-01-9,0.02
CPC006_HCC515_6H:BRD-K78126613-001-16-0:10,menadione,BRD-K78126613-001-16-0,0.02
MUC.CP005_MCF7_24H:BRD-K79131256-001-03-9:1.1111,albendazole,BRD-K79131256-001-03-9,0.02
CPC003_PC3_24H:BRD-K03642198-300-01-7:10,AY-9944,BRD-K03642198-300-01-7,0.02
CPC009_PC3_6H:BRD-K55070890-001-02-1:10,thiothixene,BRD-K55070890-001-02-1,0.02
CPC004_VCAP_24H:BRD-A44008656-036-15-9:10,doxylamine,BRD-A44008656-036-15-9,0.02
